"gameId","season","week","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","homeFinalScore","visitorFinalScore"
2022090800,2022,1,"09/08/2022","20:20:00","LA","BUF",10,31
2022091100,2022,1,"09/11/2022","13:00:00","ATL","NO",26,27
2022091101,2022,1,"09/11/2022","13:00:00","CAR","CLE",24,26
2022091102,2022,1,"09/11/2022","13:00:00","CHI","SF",19,10
2022091103,2022,1,"09/11/2022","13:00:00","CIN","PIT",20,23
2022091104,2022,1,"09/11/2022","13:00:00","DET","PHI",35,38
2022091105,2022,1,"09/11/2022","13:00:00","HOU","IND",20,20
2022091106,2022,1,"09/11/2022","13:00:00","MIA","NE",20,7
2022091107,2022,1,"09/11/2022","13:00:00","NYJ","BAL",9,24
2022091109,2022,1,"09/11/2022","13:00:00","WAS","JAX",28,22
2022091110,2022,1,"09/11/2022","16:25:00","ARI","KC",21,44
2022091111,2022,1,"09/11/2022","16:25:00","LAC","LV",24,19
2022091112,2022,1,"09/11/2022","16:25:00","MIN","GB",23,7
2022091108,2022,1,"09/11/2022","16:25:00","TEN","NYG",20,21
2022091113,2022,1,"09/11/2022","20:20:00","DAL","TB",3,19
2022091200,2022,1,"09/12/2022","20:15:00","SEA","DEN",17,16
2022091500,2022,2,"09/15/2022","20:15:00","KC","LAC",27,24
2022091800,2022,2,"09/18/2022","13:00:00","BAL","MIA",38,42
2022091801,2022,2,"09/18/2022","13:00:00","CLE","NYJ",30,31
2022091802,2022,2,"09/18/2022","13:00:00","DET","WAS",36,27
2022091803,2022,2,"09/18/2022","13:00:00","JAX","IND",24,0
2022091804,2022,2,"09/18/2022","13:00:00","NO","TB",10,20
2022091805,2022,2,"09/18/2022","13:00:00","NYG","CAR",19,16
2022091806,2022,2,"09/18/2022","13:00:00","PIT","NE",14,17
2022091807,2022,2,"09/18/2022","16:05:00","LA","ATL",31,27
2022091808,2022,2,"09/18/2022","16:05:00","SF","SEA",27,7
2022091809,2022,2,"09/18/2022","16:25:00","DAL","CIN",20,17
2022091810,2022,2,"09/18/2022","16:25:00","DEN","HOU",16,9
2022091811,2022,2,"09/18/2022","16:25:00","LV","ARI",23,29
2022091812,2022,2,"09/18/2022","20:20:00","GB","CHI",27,10
2022091900,2022,2,"09/19/2022","19:15:00","BUF","TEN",41,7
2022091901,2022,2,"09/19/2022","20:30:00","PHI","MIN",24,7
2022092200,2022,3,"09/22/2022","20:15:00","CLE","PIT",29,17
2022092500,2022,3,"09/25/2022","13:00:00","CAR","NO",22,14
2022092501,2022,3,"09/25/2022","13:00:00","CHI","HOU",23,20
2022092502,2022,3,"09/25/2022","13:00:00","IND","KC",20,17
2022092503,2022,3,"09/25/2022","13:00:00","MIA","BUF",21,19
2022092504,2022,3,"09/25/2022","13:00:00","MIN","DET",28,24
2022092505,2022,3,"09/25/2022","13:00:00","NE","BAL",26,37
2022092506,2022,3,"09/25/2022","13:00:00","NYJ","CIN",12,27
2022092507,2022,3,"09/25/2022","13:00:00","TEN","LV",24,22
2022092508,2022,3,"09/25/2022","13:00:00","WAS","PHI",8,24
2022092509,2022,3,"09/25/2022","16:05:00","LAC","JAX",10,38
2022092510,2022,3,"09/25/2022","16:25:00","ARI","LA",12,20
2022092511,2022,3,"09/25/2022","16:25:00","SEA","ATL",23,27
2022092512,2022,3,"09/25/2022","16:25:00","TB","GB",12,14
2022092513,2022,3,"09/25/2022","20:20:00","DEN","SF",11,10
2022092600,2022,3,"09/26/2022","20:15:00","NYG","DAL",16,23
2022092900,2022,4,"09/29/2022","20:15:00","CIN","MIA",27,15
2022100200,2022,4,"10/02/2022","09:30:00","NO","MIN",25,28
2022100201,2022,4,"10/02/2022","13:00:00","ATL","CLE",23,20
2022100202,2022,4,"10/02/2022","13:00:00","BAL","BUF",20,23
2022100204,2022,4,"10/02/2022","13:00:00","DAL","WAS",25,10
2022100205,2022,4,"10/02/2022","13:00:00","DET","SEA",45,48
2022100206,2022,4,"10/02/2022","13:00:00","HOU","LAC",24,34
2022100207,2022,4,"10/02/2022","13:00:00","IND","TEN",17,24
2022100208,2022,4,"10/02/2022","13:00:00","NYG","CHI",20,12
2022100209,2022,4,"10/02/2022","13:00:00","PHI","JAX",29,21
2022100210,2022,4,"10/02/2022","13:00:00","PIT","NYJ",20,24
2022100203,2022,4,"10/02/2022","16:05:00","CAR","ARI",16,26
2022100211,2022,4,"10/02/2022","16:25:00","GB","NE",27,24
2022100212,2022,4,"10/02/2022","16:25:00","LV","DEN",32,23
2022100213,2022,4,"10/02/2022","20:20:00","TB","KC",31,41
2022100300,2022,4,"10/03/2022","20:15:00","SF","LA",24,9
2022100600,2022,5,"10/06/2022","20:15:00","DEN","IND",9,12
2022100900,2022,5,"10/09/2022","09:30:00","GB","NYG",22,27
2022100901,2022,5,"10/09/2022","13:00:00","BUF","PIT",38,3
2022100902,2022,5,"10/09/2022","13:00:00","CLE","LAC",28,30
2022100903,2022,5,"10/09/2022","13:00:00","JAX","HOU",6,13
2022100904,2022,5,"10/09/2022","13:00:00","MIN","CHI",29,22
2022100905,2022,5,"10/09/2022","13:00:00","NE","DET",29,0
2022100906,2022,5,"10/09/2022","13:00:00","NO","SEA",39,32
2022100907,2022,5,"10/09/2022","13:00:00","NYJ","MIA",40,17
2022100908,2022,5,"10/09/2022","13:00:00","TB","ATL",21,15
2022100909,2022,5,"10/09/2022","13:00:00","WAS","TEN",17,21
2022100910,2022,5,"10/09/2022","16:05:00","CAR","SF",15,37
2022100911,2022,5,"10/09/2022","16:25:00","ARI","PHI",17,20
2022100912,2022,5,"10/09/2022","16:25:00","LA","DAL",10,22
2022100913,2022,5,"10/09/2022","20:20:00","BAL","CIN",19,17
2022101000,2022,5,"10/10/2022","20:15:00","KC","LV",30,29
2022101300,2022,6,"10/13/2022","20:15:00","CHI","WAS",7,12
2022101600,2022,6,"10/16/2022","13:00:00","ATL","SF",28,14
2022101601,2022,6,"10/16/2022","13:00:00","CLE","NE",15,38
2022101602,2022,6,"10/16/2022","13:00:00","GB","NYJ",10,27
2022101603,2022,6,"10/16/2022","13:00:00","IND","JAX",34,27
2022101604,2022,6,"10/16/2022","13:00:00","MIA","MIN",16,24
2022101605,2022,6,"10/16/2022","13:00:00","NO","CIN",26,30
2022101606,2022,6,"10/16/2022","13:00:00","NYG","BAL",24,20
2022101607,2022,6,"10/16/2022","13:00:00","PIT","TB",20,18
2022101608,2022,6,"10/16/2022","16:05:00","LA","CAR",24,10
2022101609,2022,6,"10/16/2022","16:05:00","SEA","ARI",19,9
2022101610,2022,6,"10/16/2022","16:25:00","KC","BUF",20,24
2022101611,2022,6,"10/16/2022","20:20:00","PHI","DAL",26,17
2022101700,2022,6,"10/17/2022","20:15:00","LAC","DEN",19,16
2022102000,2022,7,"10/20/2022","20:15:00","ARI","NO",42,34
2022102300,2022,7,"10/23/2022","13:00:00","BAL","CLE",23,20
2022102301,2022,7,"10/23/2022","13:00:00","CAR","TB",21,3
2022102302,2022,7,"10/23/2022","13:00:00","CIN","ATL",35,17
2022102303,2022,7,"10/23/2022","13:00:00","DAL","DET",24,6
2022102304,2022,7,"10/23/2022","13:00:00","JAX","NYG",17,23
2022102305,2022,7,"10/23/2022","13:00:00","TEN","IND",19,10
2022102306,2022,7,"10/23/2022","13:00:00","WAS","GB",23,21
2022102307,2022,7,"10/23/2022","16:05:00","DEN","NYJ",9,16
2022102308,2022,7,"10/23/2022","16:05:00","LV","HOU",38,20
2022102309,2022,7,"10/23/2022","16:25:00","LAC","SEA",23,37
2022102310,2022,7,"10/23/2022","16:25:00","SF","KC",23,44
2022102311,2022,7,"10/23/2022","20:20:00","MIA","PIT",16,10
2022102400,2022,7,"10/24/2022","20:15:00","NE","CHI",14,33
2022102700,2022,8,"10/27/2022","20:15:00","TB","BAL",22,27
2022103000,2022,8,"10/30/2022","09:30:00","JAX","DEN",17,21
2022103001,2022,8,"10/30/2022","13:00:00","ATL","CAR",37,34
2022103002,2022,8,"10/30/2022","13:00:00","DAL","CHI",49,29
2022103003,2022,8,"10/30/2022","13:00:00","DET","MIA",27,31
2022103005,2022,8,"10/30/2022","13:00:00","MIN","ARI",34,26
2022103006,2022,8,"10/30/2022","13:00:00","NO","LV",24,0
2022103007,2022,8,"10/30/2022","13:00:00","NYJ","NE",17,22
2022103008,2022,8,"10/30/2022","13:00:00","PHI","PIT",35,13
2022103004,2022,8,"10/30/2022","16:05:00","HOU","TEN",10,17
2022103009,2022,8,"10/30/2022","16:25:00","IND","WAS",16,17
2022103010,2022,8,"10/30/2022","16:25:00","LA","SF",14,31
2022103011,2022,8,"10/30/2022","16:25:00","SEA","NYG",27,13
2022103012,2022,8,"10/30/2022","20:20:00","BUF","GB",27,17
2022103100,2022,8,"10/31/2022","20:15:00","CLE","CIN",32,13
2022110300,2022,9,"11/03/2022","20:15:00","HOU","PHI",17,29
2022110600,2022,9,"11/06/2022","13:00:00","ATL","LAC",17,20
2022110601,2022,9,"11/06/2022","13:00:00","CHI","MIA",32,35
2022110602,2022,9,"11/06/2022","13:00:00","CIN","CAR",42,21
2022110603,2022,9,"11/06/2022","13:00:00","DET","GB",15,9
2022110604,2022,9,"11/06/2022","13:00:00","JAX","LV",27,20
2022110605,2022,9,"11/06/2022","13:00:00","NE","IND",26,3
2022110606,2022,9,"11/06/2022","13:00:00","NYJ","BUF",20,17
2022110607,2022,9,"11/06/2022","13:00:00","WAS","MIN",17,20
2022110608,2022,9,"11/06/2022","16:05:00","ARI","SEA",21,31
2022110609,2022,9,"11/06/2022","16:25:00","TB","LA",16,13
2022110610,2022,9,"11/06/2022","20:20:00","KC","TEN",20,17
2022110700,2022,9,"11/07/2022","20:15:00","NO","BAL",13,27
