"gameId","playId","nflId","tackle","assist","forcedFumble","pff_missedTackle"
2022090800,101,42816,1,0,0,0
2022090800,393,46232,1,0,0,0
2022090800,486,40166,1,0,0,0
2022090800,646,47939,1,0,0,0
2022090800,818,40107,1,0,0,0
2022090800,1286,44976,1,0,0,0
2022090800,1736,44976,1,0,0,0
2022090800,2860,46085,1,0,0,0
2022090800,3092,46190,1,0,0,0
2022090800,3145,52647,1,0,0,0
2022090800,3362,46190,1,0,0,0
2022090800,3383,54488,1,0,0,0
2022091100,1260,44851,1,0,0,0
2022091100,1672,40017,1,0,0,0
2022091100,2114,53469,1,0,0,0
2022091100,2353,38607,1,0,0,0
2022091100,2512,53611,1,0,0,0
2022091100,2640,44862,1,0,0,0
2022091100,2878,53489,1,0,0,0
2022091100,2899,37097,1,0,0,0
2022091100,3578,52542,1,0,0,0
2022091100,3647,53469,1,0,0,0
2022091100,3778,53489,1,0,0,0
2022091101,1691,53481,1,0,0,0
2022091101,1744,44903,1,0,0,0
2022091101,1785,52452,1,0,0,0
2022091101,2051,46527,1,0,0,0
2022091101,3221,47799,1,0,0,0
2022091102,86,44938,1,0,0,0
2022091102,531,52571,1,0,0,0
2022091102,756,53609,1,0,0,0
2022091102,1493,54504,1,0,0,0
2022091102,2065,54504,1,0,0,0
2022091102,2352,46290,1,0,0,0
2022091102,2759,54504,1,0,0,0
2022091102,3783,52571,1,0,0,0
2022091102,4102,54639,1,0,0,0
2022091103,520,46146,1,0,0,0
2022091103,1037,44842,1,0,0,0
2022091103,1315,46080,1,0,0,0
2022091103,1405,46080,1,0,0,0
2022091103,1672,46080,1,0,0,0
2022091103,2058,43641,1,0,0,0
2022091103,2172,46097,1,0,0,0
2022091103,2222,44842,1,0,0,0
2022091103,2291,46698,1,0,0,0
2022091103,2976,46097,1,0,0,0
2022091103,3147,44872,1,0,0,0
2022091103,3251,43325,1,0,0,0
2022091103,4175,43641,1,0,0,0
2022091103,4686,43641,1,0,0,0
2022091103,5096,43350,1,0,0,0
2022091104,803,52411,1,0,0,0
2022091104,910,54653,1,0,0,0
2022091104,999,47900,1,0,0,0
2022091104,1528,46259,1,0,0,0
2022091104,2269,44888,1,0,0,0
2022091104,2558,53542,1,0,0,0
2022091104,2781,43351,1,0,0,0
2022091104,2974,47888,1,0,0,0
2022091104,3172,46151,1,0,0,0
2022091105,228,43356,1,0,0,0
2022091105,503,46304,1,0,0,0
2022091105,667,44964,1,0,0,0
2022091105,912,38540,1,0,0,0
2022091105,1259,42441,1,0,0,0
2022091105,1913,43358,1,0,0,0
2022091105,1968,52493,1,0,0,0
2022091105,2369,46729,1,0,0,0
2022091105,2718,38540,1,0,0,0
2022091105,3971,54468,1,0,0,0
2022091105,4041,54468,1,0,0,0
2022091106,154,53465,1,0,0,0
2022091106,196,43327,1,0,0,0
2022091106,607,53465,1,0,0,0
2022091106,1544,35466,1,0,0,0
2022091106,1874,47796,1,0,0,0
2022091106,2019,44887,1,0,0,0
2022091106,2584,43503,1,0,0,0
2022091106,2767,46212,1,0,0,0
2022091106,2935,35466,1,0,0,0
2022091106,3213,54936,1,0,1,0
2022091107,275,47881,1,0,0,0
2022091107,959,54491,1,0,0,0
2022091107,1696,37778,1,0,0,0
2022091107,1841,37145,1,0,0,0
2022091107,1879,44854,1,0,0,0
2022091107,2092,46186,1,0,0,0
2022091107,2219,52479,1,0,0,0
2022091107,2659,41243,1,0,0,0
2022091107,3115,41243,1,0,0,0
2022091107,3299,44854,1,0,0,0
2022091107,3398,44999,1,0,0,0
2022091107,3503,54479,1,0,0,0
2022091109,412,54492,1,0,0,0
2022091109,888,52428,1,0,0,0
2022091109,928,53494,1,0,0,0
2022091109,1636,44926,1,0,0,0
2022091109,1729,43352,1,0,0,0
2022091109,1886,53448,1,0,0,0
2022091109,1915,53503,1,0,0,0
2022091109,2404,43313,1,0,0,0
2022091109,2452,53448,1,0,0,0
2022091109,3544,46456,1,0,0,0
2022091110,514,53445,1,0,0,0
2022091110,543,53445,1,0,0,0
2022091110,1092,53445,1,0,0,0
2022091110,1312,44848,1,0,0,0
2022091110,1539,52539,1,0,0,0
2022091110,1649,46137,1,0,0,0
2022091110,2845,43376,1,0,0,0
2022091110,2978,53487,1,0,0,0
2022091110,3797,49410,1,0,0,0
2022091110,3821,52522,1,0,0,0
2022091111,475,42935,1,0,0,0
2022091111,694,53509,1,0,0,0
2022091111,730,46214,1,0,0,0
2022091111,818,43292,1,0,0,0
